x,result
-5.0000000000,2.9794949005
-4.9000000000,4.9948715051
-4.8000000000,11.2543705663
-4.7000000000,-80.6940465348
-4.6000000000,-8.6935200934
-4.5000000000,-4.3313970310
-4.4000000000,-2.6661976340
-4.3000000000,-1.7505928130
-4.2000000000,-1.1579121658
-4.1000000000,-0.7388376910
-4.0000000000,-0.4258068791
-3.9000000000,-0.1823366680
-3.8000000000,0.0140701468
-3.7000000000,0.1788209118
-3.6000000000,0.3234883658
-3.5000000000,0.4576487163
-3.4000000000,0.5902014515
-3.3000000000,0.7306574093
-3.2000000000,0.8908536899
-3.1000000000,1.0878669378
-3.0000000000,1.3499238691
-2.9000000000,1.7304129959
-2.8000000000,2.3476201574
-2.7000000000,3.5305585934
-2.6000000000,6.6671494629
-2.5000000000,35.7057855748
-2.4000000000,-12.5530472040
-2.3000000000,-5.9164986254
-2.2000000000,-4.2459583819
-2.1000000000,-3.6405520919
-2.0000000000,-3.5336485862
-1.9000000000,-3.8613079971
-1.8000000000,-4.8940928368
-1.7000000000,-8.0255730648
-1.6000000000,-34.3056094431
-1.5000000000,14.2793776409
-1.4000000000,6.2388613797
-1.3000000000,4.3381055662
-1.2000000000,3.6647653978
-1.1000000000,3.5280878862
-1.0000000000,3.8171802300
-0.9000000000,4.7408305573
-0.8000000000,7.4425596610
-0.7000000000,27.1318438533
-0.6000000000,-12.9527973840
-0.5000000000,-4.8976938557
-0.4000000000,-2.9282015528
-0.3000000000,-2.0492225014
-0.2000000000,-1.5524831655
-0.1000000000,-1.2304414673
-0.0000000000,NaN
0.1000000000,-6.3062814191
0.2000000000,-7.2831769675
0.3000000000,-8.7128352558
0.4000000000,-10.6926160058
0.5000000000,-13.5096552379
0.6000000000,-17.7700219084
0.7000000000,-24.9025385651
0.8000000000,-39.2031297503
0.9000000000,-82.1608506151
1.0000000000,NaN
1.1000000000,89.8007901914
1.2000000000,46.8370463117
1.3000000000,32.5258171656
1.4000000000,25.3769798866
1.5000000000,21.0926272474
1.6000000000,18.2402033465
1.7000000000,16.2057993810
1.8000000000,14.6824890978
1.9000000000,13.4997868714
2.0000000000,12.5554118902
2.1000000000,11.7842857730
2.2000000000,11.1430374610
2.3000000000,10.6016427379
2.4000000000,10.1386618934
2.5000000000,9.7383726582
2.6000000000,9.3889946795
2.7000000000,9.0815154609
2.8000000000,8.8089291185
2.9000000000,8.5657025518
3.0000000000,8.3474197732
3.1000000000,8.1504996337
3.2000000000,7.9720152208
3.3000000000,7.8095458129
3.4000000000,7.6610840172
3.5000000000,7.5249364977
3.6000000000,7.3996706460
3.7000000000,7.2840730733
3.8000000000,7.1770985563
3.9000000000,7.0778480505
4.0000000000,6.9855402725
4.1000000000,6.8995013648
4.2000000000,6.8191364200
4.3000000000,6.7439245223
4.4000000000,6.6734039741
4.5000000000,6.6071720411
4.6000000000,6.5448655651
4.7000000000,6.4861624111
4.8000000000,6.4307723928
4.9000000000,6.3784408443
5.0000000000,6.3289336199
